time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
15:27:26.355,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:27.028,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:28.028,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:29.028,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:30.029,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:31.029,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:32.045,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:33.062,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:34.079,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:35.078,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:36.095,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:37.112,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
