time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
09:04:16.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:17.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:18.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:19.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:20.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:21.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:22.953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:23.987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:25.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:26.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:27.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:28.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:29.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:30.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:31.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
